(E)2003-61@@http://dx.doi.org/10.1080/01650424.2011.597405@     ception trap/K. A. Jackson D. Carpenter BMNH{E}2003–61’’ (BMNH). Paratype: 1<, same
B.M. 1927-63@Pseudochironomous @http://dx.doi.org/10.1080/01650420902787556@     Museum (Natural History) (BMNH). A male, identiﬁed from a mixed sample, will
1955.6.N.20.3964@Otus w. watsonii@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus w. watsonii                                   NHMT                     1955.6.N.20.3964
69.2.25.140@Otus usta @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus usta                                          NHMT                     69.2.25.140
1914.11.26.191@Otus ingens@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus ingens                                        NHMT                     1914.11.26.191
90.5.16.175@Otus clarkii   @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus clarkii                                       NHMT                     90.5.16.175
60.7.11.1@Otus n. nudipes      @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus n. nudipes                                    NHMT                     60.7.11.1
78.10.29.10@Otus podarginus@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus podarginus                                    NHMT                     78.10.29.10
1955.6.N.20@Otus a. albogularis  @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Otus a. albogularis                                NHMT                     1955.6.N.20
1955.6.N.20@Mimizuku gurneyi  @http://dx.doi.org/10.1080/11250003.2012.663003@                                       Mimizuku gurneyi                                   NHMT                     1955.6.N.20
98.9.19.17@Bubo virginianus@http://dx.doi.org/10.1080/11250003.2012.663003@                                       Bubo virginianus                                   NHMT                     98.9.19.17
86.2.1.139@Bubo bengalensis  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Bubo bengalensis                                NHMT                   86.2.1.139
1907.12.10.2@Bubo ascalaphus @http://dx.doi.org/10.1080/11250003.2012.663003@                                Bubo ascalaphus                                 NHMT                   1907.12.10.2
1905.12.29.56@ Bubo capensis @http://dx.doi.org/10.1080/11250003.2012.663003@                                Bubo capensis                                   NHMT                   1905.12.29.56
1905.12.29.63@Bubo a. africanus @http://dx.doi.org/10.1080/11250003.2012.663003@                                Bubo a. africanus                               NHMT                   1905.12.29.63
1949.14.62@Bubo poensis@http://dx.doi.org/10.1080/11250003.2012.663003@                                Bubo poensis                                    NHMT                   1949.14.62
1910.5.8.3@Bubo nipalensis@http://dx.doi.org/10.1080/11250003.2012.663003@                                Bubo nipalensis                                 NHMT                   1910.5.8.3
87.11.11.36@Bubo s. sumatranus @http://dx.doi.org/10.1080/11250003.2012.663003@                                Bubo s. sumatranus                              NHMT                   87.11.11.36
94.8.15.19@Bubo shelleyi  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Bubo shelleyi                                   NHMT                   94.8.15.19
1923.8.7@Bubo lacteus  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Bubo lacteus                                    NHMT                   1923.8.7
86.2.1.101@Bubo c. coromandus @http://dx.doi.org/10.1080/11250003.2012.663003@                                Bubo c. coromandus                              NHMT                   86.2.1.101
1903.10.26@Bubo leucostictus @http://dx.doi.org/10.1080/11250003.2012.663003@                                Bubo leucostictus                               NHMT                   1903.10.26
96.4.15.48@Bubo philippensis     @http://dx.doi.org/10.1080/11250003.2012.663003@                                Bubo philippensis                               NHMT                   96.4.15.48
1955.6.N.20@Ketupa blackistoni@http://dx.doi.org/10.1080/11250003.2012.663003@                                Ketupa blackistoni                              NHMT                   1955.6.N.20
1969.43.63@Ketupa z. zeylonensis  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Ketupa z. zeylonensis                           NHMT                   1969.43.63
86.2.1.61@Ketupa flavipes@http://dx.doi.org/10.1080/11250003.2012.663003@                                Ketupa flavipes                                 NHMT                   86.2.1.61
1906.7.23.363@Ketupa ketupu       @http://dx.doi.org/10.1080/11250003.2012.663003@                                Ketupa ketupu                                   NHMT                   1906.7.23.363
1969.43.62@Scotopelia peli @http://dx.doi.org/10.1080/11250003.2012.663003@                                Scotopelia peli                                 NHMT                   1969.43.62
73.5.24.32@Scotopelia ussheri @http://dx.doi.org/10.1080/11250003.2012.663003@                                Scotopelia ussheri                              NHMT                   73.5.24.32
1911.5.31.74@Scotopelia bouvieri  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Scotopelia bouvieri                             NHMT                   1911.5.31.74
82.1.9.59@Strix s. seloputo@http://dx.doi.org/10.1080/11250003.2012.663003@                                Strix s. seloputo                               NHMT                   82.1.9.59
86.2.1.1002@Strix ocellata      @http://dx.doi.org/10.1080/11250003.2012.663003@                                Strix ocellata                                  NHMT                   86.2.1.1002
76.7.28.270@Strix l. leptogrammica   @http://dx.doi.org/10.1080/11250003.2012.663003@                                Strix l. leptogrammica                          NHMT                   76.7.28.270
1965.M.5236@Strix butleri         @http://dx.doi.org/10.1080/11250003.2012.663003@                                Strix butleri                                   NHMT                   1965.M.5236
88.10.10.552@Strix occidentalis@http://dx.doi.org/10.1080/11250003.2012.663003@                                Strix occidentalis                              NHMT                   88.10.10.552
1965.M.5264@Strix v. varia   @http://dx.doi.org/10.1080/11250003.2012.663003@                                Strix v. varia                                  NHMT                   1965.M.5264
88.7.20.233@Strix fulvescens@http://dx.doi.org/10.1080/11250003.2012.663003@                                Strix fulvescens                                NHMT                   88.7.20.233
239@Strix hylophila@http://dx.doi.org/10.1080/11250003.2012.663003@                                Strix hylophila                                 NHMT                   239
1910.4.25.73@Strix r. rufipes @http://dx.doi.org/10.1080/11250003.2012.663003@                                Strix r. rufipes                                NHMT                   1910.4.25.73
1934.1.1.1493@Strix u. uralensis  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Strix u. uralensis                              NHMT                   1934.1.1.1493
1955.6.N.20.4323@Strix nebulosa lapponica @http://dx.doi.org/10.1080/11250003.2012.663003@                                Strix nebulosa lapponica                        NHMT                   1955.6.N.20.4323
1936.1.21.353@Strix virgata  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Strix virgata                                   NHMT                   1936.1.21.353
1910.7.1.140@Strix w. woodfordi  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Strix w. woodfordi                              NHMT                   1910.7.1.140
1903.10.26.39@Jubula lettii @http://dx.doi.org/10.1080/11250003.2012.663003@                                Jubula lettii                                   NHMT                   1903.10.26.39
88.7.20.79@Lophostrix c. cristata  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Lophostrix c. cristata                          NHMT                   88.7.20.79
1949.58.117@Pulsatrix perspicillata saturata  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Pulsatrix perspicillata saturata                NHMT                   1949.58.117
1938.6.19.5@Pulsatrix melanota   @http://dx.doi.org/10.1080/11250003.2012.663003@                                Pulsatrix melanota                              NHMT                   1938.6.19.5
95.4.1.533@Pulsatrix koeniswadiana   @http://dx.doi.org/10.1080/11250003.2012.663003@                                Pulsatrix koeniswadiana                         NHMT                   95.4.1.533
1977.12.82@Surnia u. ulula @http://dx.doi.org/10.1080/11250003.2012.663003@                                Surnia u. ulula                                 NHMT                   1977.12.82
86.2.1.681@Glaucidium b. brodiei  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Glaucidium b. brodiei                           NHMT                   86.2.1.681
1936.2.2.484@Glaucidium perlatum@http://dx.doi.org/10.1080/11250003.2012.663003@                                Glaucidium perlatum                             NHMT                   1936.2.2.484
88.10.10.514@Glaucidium perlatum@http://dx.doi.org/10.1080/11250003.2012.663003@                                Glaucidium californiucum                        NHMT                   88.10.10.514
75.6.14.41@Glaucidium g. gnoma @http://dx.doi.org/10.1080/11250003.2012.663003@                                Glaucidium g. gnoma                             NHMT                   75.6.14.41
88.7.20.118@Glaucidium minutissimum  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Glaucidium minutissimum                         NHMT                   88.7.20.118
1903.12.15.141@Glaucidium brasilianum@http://dx.doi.org/10.1080/11250003.2012.663003@                                Glaucidium brasilianum                          NHMT                   1903.12.15.141
1925.12.24.663@Glaucidium jardinii @http://dx.doi.org/10.1080/11250003.2012.663003@                                Glaucidium jardinii                             NHMT                   1925.12.24.663
88.7.20.114@Glaucidium siju      @http://dx.doi.org/10.1080/11250003.2012.663003@                                Glaucidium siju                                 NHMT                   88.7.20.114
1977.20.248@Glaucidium tephronotum     @http://dx.doi.org/10.1080/11250003.2012.663003@                                Glaucidium tephronotum                          NHMT                   1977.20.248
1902.5.15.4@Glaucidium sjostedti     @http://dx.doi.org/10.1080/11250003.2012.663003@                                Glaucidium sjostedti                            NHMT                   1902.5.15.4
1948.80.35.89@Glaucidium cuculoides rufescens @http://dx.doi.org/10.1080/11250003.2012.663003@                                Glaucidium cuculoides rufescens                 NHMT                   1948.80.35.89
60.7.2.5@Glaucidium castanopterum@http://dx.doi.org/10.1080/11250003.2012.663003@                                Glaucidium castanopterum                        NHMT                   60.7.2.5
87.11.11.250@Glaucidium radiatum@http://dx.doi.org/10.1080/11250003.2012.663003@                                Glaucidium radiatum                             NHMT                   87.11.11.250
1948.57.12@Glaucidium castanonotus@http://dx.doi.org/10.1080/11250003.2012.663003@                                Glaucidium castanonotus                         NHMT                   1948.57.12
1905.12.29.32@Glaucidium capense @http://dx.doi.org/10.1080/11250003.2012.663003@                                Glaucidium capense                              NHMT                   1905.12.29.32
1980.20.1@Glaucidium castaneum@http://dx.doi.org/10.1080/11250003.2012.663003@                                Glaucidium castaneum                            NHMT                   1980.20.1
1955.6.N.20@Glaucidium ngamiense   @http://dx.doi.org/10.1080/11250003.2012.663003@                                Glaucidium ngamiense                            NHMT                   1955.6.N.20
88.7.20.203@Micrathene whitneyi sanfordi @http://dx.doi.org/10.1080/11250003.2012.663003@                                Micrathene whitneyi sanfordi                    NHMT                   88.7.20.203
1969.41.88@ Athene b. brama@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Athene b. brama                     NHMT     1969.41.88
1902.3.13.1561@Speotyto c. cunicularia@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Speotyto c. cunicularia             NHMT     1902.3.13.1561
88.10.10.664@Aegolius acadicus  @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Aegolius acadicus                   NHMT     88.10.10.664
1916.2.16-1@Aegolius harrisii  @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Aegolius harrisii                   NHMT     1916.2.16-1
1900.2.7.15@ Ninox rufa @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox rufa                          NHMT     1900.2.7.15
81.11.7.887@Ninox strenua@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox strenua                       NHMT     81.11.7.887
431.14.156@Ninox connivens  @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox connivens                     NHMT     431.14.156
98.12.5.5@Ninox rudolfi@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox rudolfi                       NHMT     98.12.5.5
87.11.11.222@Ninox boobook @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox boobook                       NHMT     87.11.11.222
99.2.10.3@Ninox novaeseelandiae @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox novaeseelandiae               NHMT     99.2.10.3
94.10.30.298@Ninox s. scutulata @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox s. scutulata                  NHMT     94.10.30.298
86.2.1.557@Ninox affinis @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox affinis                       NHMT     86.2.1.557
1931.8.18.341@Ninox superciliaris @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox superciliaris                 NHMT     1931.8.18.341
87.11.11.191@Ninox philippensis@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox philippensis                  NHMT     87.11.11.191
1955.6.N.20.4770@Ninox ochracea      @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox ochracea                      NHMT     1955.6.N.20.4770
1910.12.28.94@Ninox squamipila@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox squamipila                    NHMT     1910.12.28.94
1911.12.20.450@Ninox theomacha@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox theomacha                     NHMT     1911.12.20.450
1967.3.2@Ninox meeki  @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox meeki                         NHMT     1967.3.2
87.11.11.213@Ninox punctulata@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox punctulata                    NHMT     87.11.11.213
1939.6.21.12@Ninox variegata@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox variegata                     NHMT     1939.6.21.12
81.11.22.4@Ninox odiosa  @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox odiosa                        NHMT     81.11.22.4
1955.6.N.20@Ninox j. jacquinoti@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Ninox j. jacquinoti                 NHMT     1955.6.N.20
1913.3.6.36@Uroglaux dimorpha@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Uroglaux dimorpha                   NHMT     1913.3.6.36
70.3.2.2@Pseudoscops grammicus@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Pseudoscops grammicus               NHMT     70.3.2.2
1929.6.28.51@Asio stygius @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Asio stygius                        NHMT     1929.6.28.51
1961.21.8@Asio stygius  @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Asio abyssinicus graueri            NHMT     1961.21.8
87.2.27.124@Asio abyssinicus graueri          @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Asio madagascariensis               NHMT     87.2.27.124
1996.24.1@Asio clamator@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Asio clamator                       NHMT     1996.24.1
1948.2.1@Aviceda c. cuculoides  @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Aviceda c. cuculoides               NHMT     1948.2.1
89.9.5.1@Aviceda madagascariensis@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Aviceda madagascariensis            NHMT     89.9.5.1
1910.12.27.39@Aviceda j. jerdoni  @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Aviceda j. jerdoni                  NHMT     1910.12.27.39
73.5.12.1691@Aviceda subcristata timorlaoensis@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Aviceda subcristata timorlaoensis   NHMT     73.5.12.1691
87.11.1.606@Aviceda l. leuphotes @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Aviceda l. leuphotes                NHMT     87.11.1.606
1955.6.N.20.1119@Leptodon c. cayanensis       @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Leptodon c. cayanensis              NHMT     1955.6.N.20.1119
95.4.1.514@Leptodon forbesi  @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Leptodon forbesi                    NHMT     95.4.1.514
98.12.1.72@Chondrohierax uncinatus   @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Chondrohierax uncinatus             NHMT     98.12.1.72
1955.6.N.20.1091@Henicopernis l. longicauda@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Henicopernis l. longicauda          NHMT     1955.6.N.20.1091
1961.29.1@Henicopernis infuscatus    @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Henicopernis infuscatus             NHMT     1961.29.1
1908.1.4.3@Pernis ptilorhynchus orientalis     @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Pernis ptilorhynchus orientalis     NHMT     1908.1.4.3
99.6.14.13@Pernis ptilorhynchus orientalis@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Pernis celebensis steerei           NHMT     99.6.14.13
1906.12.20.16@Pernis celebensis steerei @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Lophoictinia isura                  NHMT     1906.12.20.16
75.4.19.10@Lophoictinia isura@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Hamirostra melanosternon            NHMT     75.4.19.10
1906.12.7.593@Hamirostra melanosternon@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Elanoides forficatus                NHMT     1906.12.7.593
1901.10.20.143@Macheirhamphus alcinus andersoni  @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Macheirhamphus alcinus andersoni    NHMT     1901.10.20.143
1914.11.26.400@Gampsonyx s. swainsonii    @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Gampsonyx s. swainsonii             NHMT     1914.11.26.400
1915.12.24.344@Elanus c. caeruleus       @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Elanus c. caeruleus                 NHMT     1915.12.24.344
1955.6.N.20.1006@Elanus axillaris @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Elanus axillaris                    NHMT     1955.6.N.20.1006
90.4.28.361@Elanus leucurus@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Elanus leucurus                     NHMT     90.4.28.361
1955.6.N.20.1012@Elanus leucurus @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Elanus scriptus                     NHMT     1955.6.N.20.1012
1922.12.8.287@Chelictinia riocourii @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Chelictinia riocourii               NHMT     1922.12.8.287
1915.3.1.46@Rostrhamus s. sociabilis @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Rostrhamus s. sociabilis            NHMT     1915.3.1.46
87.5.1.686@Rostrhamus hamatus@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Rostrhamus hamatus                  NHMT     87.5.1.686
1922.3.5.983@Harpagus b. bidentatus   @http://dx.doi.org/10.1080/11250003.2012.663003@                                    Harpagus b. bidentatus              NHMT     1922.3.5.983
1903.12.15.139@Harpagus diodon@http://dx.doi.org/10.1080/11250003.2012.663003@                                    Harpagus diodon                     NHMT     1903.12.15.139
90.11.28.241@Ictinia mississippiensis     @http://dx.doi.org/10.1080/11250003.2012.663003@                                Ictinia mississippiensis                    NHMT                   90.11.28.241
90.4.28.248@Ictinia plumbea @http://dx.doi.org/10.1080/11250003.2012.663003@                                Ictinia plumbea                             NHMT                   90.4.28.248
85.8.19.1931@Ictinia plumbea   @http://dx.doi.org/10.1080/11250003.2012.663003@                                Milvus lineatus                             NHMT                   85.8.19.1931
1969.4.17@Haliastur sphenurnus  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Haliastur sphenurnus                        NHMT                   1969.4.17
1949.25.109@Haliastur sphenurnus  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Haliastur i. indus                          NHMT                   1949.25.109
85.8.19.1719@Haliaeetus leucogaster@http://dx.doi.org/10.1080/11250003.2012.663003@                                Haliaeetus leucogaster                      NHMT                   85.8.19.1719
1938.11.23.12@Haliaeetus sanfordi @http://dx.doi.org/10.1080/11250003.2012.663003@                                Haliaeetus sanfordi                         NHMT                   1938.11.23.12
1923.8.7.7353@Haliaeetus vocifer    @http://dx.doi.org/10.1080/11250003.2012.663003@                                Haliaeetus vocifer                          NHMT                   1923.8.7.7353
1931.8.18.20@Haliaeetus vociferoides  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Haliaeetus vociferoides                     NHMT                   1931.8.18.20
97.11.10.229@Haliaeetus leucoryphus@http://dx.doi.org/10.1080/11250003.2012.663003@                                Haliaeetus leucoryphus                      NHMT                   97.11.10.229
1934.11.20.198@Haliaeetus albicilla@http://dx.doi.org/10.1080/11250003.2012.663003@                                Haliaeetus albicilla                        NHMT                   1934.11.20.198
80.7.28.1@Haliaeetus leucocephalus  @http://dx.doi.org/10.1080/11250003.2012.663003@                                Haliaeetus leucocephalus                    NHMT                   80.7.28.1
1955.6.N.20.663@Haliaeetus pelagicus @http://dx.doi.org/10.1080/11250003.2012.663003@                                Haliaeetus pelagicus                        NHMT                   1955.6.N.20.663
1927.4.18.55@Ichtyophaga h. humilis   @http://dx.doi.org/10.1080/11250003.2012.663003@                                Ichtyophaga h. humilis                      NHMT                   1927.4.18.55
79.10.28.112@Ichtyophaga ichtyaetus@http://dx.doi.org/10.1080/11250003.2012.663003@                                Ichtyophaga ichtyaetus                      NHMT                   79.10.28.112
1910.7.1.98@Circaetus pectoralis@http://dx.doi.org/10.1080/11250003.2012.663003@                                Circaetus pectoralis                        NHMT                   1910.7.1.98
1955.6.N.20.623@Circaetus cinereus@http://dx.doi.org/10.1080/11250003.2012.663003@                                Circaetus cinereus                          NHMT                   1955.6.N.20.623
1932.8.5.8@Circaetus fasciolatus      @http://dx.doi.org/10.1080/11250003.2012.663003@                                Circaetus fasciolatus                       NHMT                   1932.8.5.8
1946.5.77@Circaetus cinerascens@http://dx.doi.org/10.1080/11250003.2012.663003@                                Circaetus cinerascens                       NHMT                   1946.5.77
1920.12.22.70@Terathopius ecaudatus   @http://dx.doi.org/10.1080/11250003.2012.663003@                                Terathopius ecaudatus                       NHMT                   1920.12.22.70
85.8.19.1509@Spilornis c. cheela    @http://dx.doi.org/10.1080/11250003.2012.663003@                                Spilornis c. cheela                         NHMT                   85.8.19.1509
